SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,longitude,latitude,time,ST_B10,system:index
,,,,,,,,,,,0
,,,,,,,,,,,1
,,,,,,,,,,,2
,,,,,,,,,,,3
,,,,,,,,,,,4
,,,,,,,,,,,5
,,,,,,,,,,,6
,,,,,,,,,,,7
,,,,,,,,,,,8
,,,,,,,,,,,9
,,,,,,,,,,,10
,,,,,,,,,,,11
,,,,,,,,,,,12
,,,,,,,,,,,13
,,,,,,,,,,,14
,,,,,,,,,,,15
,,,,,,,,,,,16
,,,,,,,,,,,17
,,,,,,,,,,,18
,,,,,,,,,,,19
,,,,,,,,,,,20
,,,,,,,,,,,21
,,,,,,,,,,,22
,,,,,,,,,,,23
,,,,,,,,,,,24
,,,,,,,,,,,25
,,,,,,,,,,,26
,,,,,,,,,,,27
,,,,,,,,,,,28
,,,,,,,,,,,29
,,,,,,,,,,,30
,,,,,,,,,,,31
,,,,,,,,,,,32
,,,,,,,,,,,33
,,,,,,,,,,,34
,,,,,,,,,,,35
,,,,,,,,,,,36
,,,,,,,,,,,37
,,,,,,,,,,,38
,,,,,,,,,,,39
,,,,,,,,,,,40
,,,,,,,,,,,41
,,,,,,,,,,,42
,,,,,,,,,,,43
,,,,,,,,,,,44
,,,,,,,,,,,45
,,,,,,,,,,,46
,,,,,,,,,,,47
,,,,,,,,,,,48
,,,,,,,,,,,49
,,,,,,,,,,,50
,,,,,,,,,,,51
,,,,,,,,,,,52
,,,,,,,,,,,53
,,,,,,,,,,,54
,,,,,,,,,,,55
,,,,,,,,,,,56
,,,,,,,,,,,57
,,,,,,,,,,,58
,,,,,,,,,,,59
,,,,,,,,,,,60
,,,,,,,,,1.607612911604E12,,61
,,,,,,,,,1.607612911604E12,,62
,,,,,,,,,1.607612911604E12,,63
,,,,,,,,,1.607612911604E12,,64
,,,,,,,,,1.607612911604E12,,65
,,,,,,,,,1.607612911604E12,,66
,,,,,,,,,1.607612911604E12,,67
,,,,,,,,,1.607612911604E12,,68
,,,,,,,,,1.607612911604E12,,69
,,,,,,,,,1.607612911604E12,,70
,,,,,,,,,1.607612911604E12,,71
,,,,,,,,,1.607612911604E12,,72
,,,,,,,,,1.607612911604E12,,73
,,,,,,,,,1.607612911604E12,,74
,,,,,,,,,1.607612911604E12,,75
,,,,,,,,,1.607612911604E12,,76
,,,,,,,,,1.607612911604E12,,77
,,,,,,,,,1.607612911604E12,,78
,,,,,,,,,1.607612911604E12,,79
,,,,,,,,,1.607612911604E12,,80
,,,,,,,,,1.605453254618E12,,81
,,,,,,,,,1.605453254618E12,,82
,,,,,,,,,1.605453254618E12,,83
,,,,,,,,,1.605453254618E12,,84
,,,,,,,,,1.605453254618E12,,85
,,,,,,,,,1.605453254618E12,,86
,,,,,,,,,1.605453254618E12,,87
